8/7/2021 11:35:15 AM /TELEPLOC a x:624 Y:1100 Map:1
8/7/2021 11:35:19 AM /SUM neosefirot Map:1 X:383 Y:1006
8/7/2021 11:35:26 AM /TELEPLOC a x:381 Y:1003 Map:1
8/7/2021 11:35:28 AM /TELEPLOC a x:381 Y:1003 Map:1
8/7/2021 11:35:29 AM /TELEPLOC a x:381 Y:1003 Map:1
8/7/2021 11:35:50 AM /TELEPLOC a x:197 Y:1055 Map:1
8/7/2021 11:35:52 AM /TELEPLOC a x:197 Y:1055 Map:1
8/7/2021 11:35:57 AM /TELEPLOC a x:403 Y:1140 Map:1
8/7/2021 11:35:58 AM /TELEPLOC a x:403 Y:1140 Map:1
8/7/2021 11:35:59 AM /TELEPLOC a x:403 Y:1140 Map:1
8/7/2021 11:36:01 AM /TELEPLOC a x:403 Y:1140 Map:1
8/7/2021 11:36:03 AM /TELEPLOC a x:403 Y:1140 Map:1
8/7/2021 11:36:04 AM /TELEPLOC a x:403 Y:1140 Map:1
8/7/2021 11:36:11 AM /TELEPLOC a x:235 Y:932 Map:1
8/7/2021 11:36:13 AM /TELEPLOC a x:235 Y:932 Map:1
8/7/2021 11:36:22 AM /TELEPLOC a x:308 Y:860 Map:1
8/7/2021 11:36:22 AM /TELEPLOC a x:308 Y:860 Map:1
8/7/2021 11:36:23 AM /TELEPLOC a x:308 Y:860 Map:1
8/7/2021 11:36:24 AM /TELEPLOC a x:308 Y:860 Map:1
8/7/2021 11:36:25 AM /TELEPLOC a x:308 Y:860 Map:1
8/7/2021 11:36:27 AM /TELEPLOC a x:308 Y:860 Map:1
8/7/2021 11:36:28 AM /TELEPLOC a x:308 Y:860 Map:1
8/7/2021 11:36:29 AM /TELEPLOC a x:308 Y:860 Map:1
8/7/2021 11:36:29 AM /TELEPLOC a x:308 Y:860 Map:1
8/7/2021 11:36:30 AM /TELEPLOC a x:308 Y:860 Map:1
8/7/2021 11:36:31 AM /TELEPLOC a x:308 Y:860 Map:1
8/7/2021 11:36:32 AM /TELEPLOC a x:308 Y:860 Map:1
