7/18/2021 12:00:46 PM /TELEPLOC a x:193 Y:1227 Map:1
7/18/2021 12:00:46 PM /TELEPLOC a x:193 Y:1227 Map:1
7/18/2021 12:00:47 PM /TELEPLOC a x:193 Y:1227 Map:1
7/18/2021 12:00:47 PM /TELEPLOC a x:193 Y:1227 Map:1
7/18/2021 12:00:48 PM /TELEPLOC a x:193 Y:1227 Map:1
7/18/2021 12:00:48 PM /TELEPLOC a x:193 Y:1227 Map:1
7/18/2021 12:00:48 PM /TELEPLOC a x:193 Y:1227 Map:1
7/18/2021 12:00:49 PM /TELEPLOC a x:193 Y:1227 Map:1
7/18/2021 12:00:49 PM /TELEPLOC a x:193 Y:1227 Map:1
7/18/2021 12:00:50 PM /TELEPLOC a x:193 Y:1227 Map:1
7/18/2021 12:00:50 PM /TELEPLOC a x:193 Y:1227 Map:1
7/18/2021 12:00:51 PM /TELEPLOC a x:193 Y:1227 Map:1
7/18/2021 12:00:51 PM /TELEPLOC a x:193 Y:1227 Map:1
7/18/2021 12:00:51 PM /TELEPLOC a x:193 Y:1227 Map:1
7/18/2021 12:00:52 PM /TELEPLOC a x:193 Y:1227 Map:1
7/18/2021 12:00:52 PM /TELEPLOC a x:193 Y:1227 Map:1
7/18/2021 12:00:53 PM /TELEPLOC a x:193 Y:1227 Map:1
7/18/2021 12:00:53 PM /TELEPLOC a x:193 Y:1227 Map:1
7/18/2021 12:00:54 PM /TELEPLOC a x:193 Y:1227 Map:1
7/18/2021 12:00:55 PM /TELEPLOC a x:193 Y:1227 Map:1
7/18/2021 12:00:55 PM /TELEPLOC a x:193 Y:1227 Map:1
7/18/2021 12:00:56 PM /TELEPLOC a x:193 Y:1227 Map:1
7/18/2021 12:00:56 PM /TELEPLOC a x:193 Y:1227 Map:1
7/18/2021 12:00:56 PM /TELEPLOC a x:193 Y:1227 Map:1
7/18/2021 12:00:57 PM /TELEPLOC a x:193 Y:1227 Map:1
7/18/2021 12:00:57 PM /TELEPLOC a x:193 Y:1227 Map:1
7/18/2021 12:00:58 PM /TELEPLOC a x:193 Y:1227 Map:1
7/18/2021 12:00:59 PM /TELEPLOC a x:193 Y:1227 Map:1
7/18/2021 12:00:59 PM /TELEPLOC a x:193 Y:1227 Map:1
7/18/2021 12:01:00 PM /TELEPLOC a x:193 Y:1227 Map:1
7/18/2021 12:01:00 PM /TELEPLOC a x:193 Y:1227 Map:1
7/18/2021 12:01:01 PM /TELEPLOC a x:193 Y:1227 Map:1
7/18/2021 12:01:39 PM /TELEPLOC a x:224 Y:636 Map:1
7/18/2021 12:01:39 PM /TELEPLOC a x:224 Y:636 Map:1
7/18/2021 12:01:41 PM /TELEPLOC a x:224 Y:636 Map:1
7/18/2021 12:01:41 PM /TELEPLOC a x:224 Y:636 Map:1
7/18/2021 12:01:42 PM /TELEPLOC a x:224 Y:636 Map:1
7/18/2021 12:01:42 PM /TELEPLOC a x:224 Y:636 Map:1
7/18/2021 12:01:43 PM /TELEPLOC a x:224 Y:636 Map:1
7/18/2021 12:01:43 PM /TELEPLOC a x:224 Y:636 Map:1
7/18/2021 12:01:44 PM /TELEPLOC a x:224 Y:636 Map:1
7/18/2021 12:01:44 PM /TELEPLOC a x:224 Y:636 Map:1
7/18/2021 12:01:50 PM /TELEPLOC a x:224 Y:636 Map:1
7/18/2021 12:01:51 PM /TELEPLOC a x:224 Y:636 Map:1
7/18/2021 12:01:52 PM /TELEPLOC a x:224 Y:636 Map:1
7/18/2021 12:01:53 PM /TELEPLOC a x:224 Y:636 Map:1
7/18/2021 12:01:56 PM Agarro:1 Objeto:Manzana Roja
7/18/2021 12:02:09 PM /TELEPLOC a x:224 Y:636 Map:1
7/18/2021 12:02:10 PM /TELEPLOC a x:224 Y:636 Map:1
7/18/2021 12:02:10 PM /TELEPLOC a x:224 Y:636 Map:1
